"Id","SkuId","Type","Name","Image"
"6778091377841631232","6778091376663031808","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/166227/3/6895/142712/6030f1dfEccf4ece4/957580e77a0363ac.jpg!cc_60x76.jpg"
"6778091378932150272","6778091376663031808","尺码",,
"6778091381348069376","6778091380366602240","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/163670/31/6771/215974/6030f1e2E016e2669/d5d566cef6c63936.jpg!cc_60x76.jpg"
"6778091382321147904","6778091380366602240","尺码",,
"6778091384737067008","6778091383772377088","颜色",,"https://img11.360buyimg.com/n9/s60x76_jfs/t1/169027/32/7155/134423/6030f1deE3a0e94ef/06c90e080f7979e6.jpg!cc_60x76.jpg"
"6778091385898889216","6778091383772377088","尺码",,
"6778091388277059584","6778091387329146880","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/159094/19/7908/181269/6030f1e1E07190192/20852bf7f6a14d0b.jpg!cc_60x76.jpg"
"6778091389254332416","6778091387329146880","尺码",,
"6778091391577976832","6778091390613286912","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/163277/19/6920/165124/6030f1e0Ea4d21748/e677507d26b3566e.jpg!cc_60x76.jpg"
"6778091392584609792","6778091390613286912","尺码",,
"6778091394941808640","6778091393964535808","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/152766/13/19432/275754/6030f1e3E7dd7c9a1/c3b17eeffe7e7e28.jpg!cc_60x76.jpg"
"6778091395868749824","6778091393964535808","尺码",,
"6778091398213365760","6778091397236092928","颜色",,"https://img14.360buyimg.com/n9/s60x76_jfs/t1/165727/31/6924/162544/6030f1e4Ea5a30376/93054a935fd014f0.jpg!cc_60x76.jpg"
"6778091399199027200","6778091397236092928","尺码",,
"6778091401560420352","6778091400583147520","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/154910/13/18896/181035/6030f1e0Ea3581424/c569a4f4df8b363e.jpg!cc_60x76.jpg"
"6778091402541887488","6778091400583147520","尺码",,
"6778091404790034432","6778091403871481856","颜色",,"https://img12.360buyimg.com/n9/s60x76_jfs/t1/166227/3/6895/142712/6030f1dfEccf4ece4/957580e77a0363ac.jpg!cc_60x76.jpg"
"6778091405716975616","6778091403871481856","尺码",,
"6778091409030475776","6778091407986094080","颜色",,"https://img13.360buyimg.com/n9/s60x76_jfs/t1/166227/3/6895/142712/6030f1dfEccf4ece4/957580e77a0363ac.jpg!cc_60x76.jpg"
"6778091409990971392","6778091407986094080","尺码",,
"6778091412343975936","6778091411383480320","颜色",,"https://img10.360buyimg.com/n9/s60x76_jfs/t1/166227/3/6895/142712/6030f1dfEccf4ece4/957580e77a0363ac.jpg!cc_60x76.jpg"
